Date created,Reporting Period Start date,Reporting Period End date,Geography,Median Household Income*,Margin of Error
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Kent,52274,5253
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Montgomery,98314,2425
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Prince George's,76366,1204
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Queen Anne's,83914,6123
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,St. Mary's,83148,5466
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Somerset,38692,3496
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Talbot,62018,5104
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Washington,55270,3456
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Wicomico,52153,2893
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Worcester,53366,3517
02/14/2025 12:00:00 AM,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Baltimore city,43192,1804
02/14/2025 12:00:00 AM,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Maryland,73851,824
02/14/2025 12:00:00 AM,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Allegany,39808,2380
02/14/2025 12:00:00 AM,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Anne Arundel,86654,2647
02/14/2025 12:00:00 AM,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Baltimore,67766,2261
02/14/2025 12:00:00 AM,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Calvert,92446,6251
